pathwayID,entityRef
R-HSA-211859,reactome:SmallMoleculeReference1592
R-HSA-211859,reactome:SmallMoleculeReference574
R-HSA-211859,reactome:SmallMoleculeReference1743
R-HSA-211859,reactome:SmallMoleculeReference1744
R-HSA-211859,reactome:SmallMoleculeReference44
R-HSA-211859,reactome:SmallMoleculeReference239
R-HSA-211859,reactome:SmallMoleculeReference237
R-HSA-211859,reactome:SmallMoleculeReference1591
R-HSA-211859,reactome:SmallMoleculeReference1732
R-HSA-211859,reactome:SmallMoleculeReference242
R-HSA-211859,reactome:ProteinReference1251
R-HSA-211859,reactome:SmallMoleculeReference1733
R-HSA-211859,reactome:ProteinReference2626
R-HSA-211859,reactome:SmallMoleculeReference159
R-HSA-211859,reactome:SmallMoleculeReference1734
R-HSA-211859,reactome:SmallMoleculeReference203
R-HSA-211859,reactome:SmallMoleculeReference302
R-HSA-211859,reactome:SmallMoleculeReference1731
R-HSA-211859,reactome:SmallMoleculeReference1745
R-HSA-211859,reactome:SmallMoleculeReference139
R-HSA-211859,reactome:ProteinReference2754
R-HSA-211859,reactome:ProteinReference2708
R-HSA-211859,reactome:ProteinReference2709
R-HSA-211859,reactome:SmallMoleculeReference1726
R-HSA-211859,reactome:SmallMoleculeReference2
R-HSA-211859,reactome:SmallMoleculeReference233
R-HSA-211859,reactome:SmallMoleculeReference1727
R-HSA-211859,reactome:SmallMoleculeReference349
R-HSA-211859,reactome:SmallMoleculeReference154
R-HSA-211859,reactome:SmallMoleculeReference1728
R-HSA-211859,reactome:SmallMoleculeReference135
R-HSA-211859,reactome:SmallMoleculeReference1729
R-HSA-211859,reactome:SmallMoleculeReference1730
R-HSA-211859,reactome:SmallMoleculeReference1723
R-HSA-211859,reactome:SmallMoleculeReference1724
R-HSA-211859,reactome:SmallMoleculeReference1725
R-HSA-211859,reactome:SmallMoleculeReference215
R-HSA-211859,reactome:SmallMoleculeReference348
R-HSA-211859,reactome:SmallMoleculeReference1661
R-HSA-211859,reactome:SmallMoleculeReference1662
R-HSA-211859,reactome:ProteinReference2688
R-HSA-211859,reactome:SmallMoleculeReference1546
R-HSA-211859,reactome:SmallMoleculeReference1547
R-HSA-211859,reactome:ProteinReference2619
R-HSA-211859,reactome:SmallMoleculeReference499
R-HSA-211859,reactome:ProteinReference2620
R-HSA-211859,reactome:SmallMoleculeReference206
R-HSA-211859,reactome:ProteinReference326
