pathwayID,entity
R-HSA-1980143,reactome:Protein23473
R-HSA-1980143,reactome:Protein13292
R-HSA-1980143,reactome:Protein4754
R-HSA-1980143,reactome:Protein13294
R-HSA-1980143,reactome:Protein4369
R-HSA-1980143,reactome:Protein13367
R-HSA-1980143,reactome:Protein23474
R-HSA-1980143,reactome:Protein13382
R-HSA-1980143,reactome:Dna646
R-HSA-1980143,reactome:Dna645
R-HSA-1980143,reactome:Protein13362
R-HSA-1980143,reactome:Protein4389
R-HSA-1980143,reactome:Protein13361
R-HSA-1980143,reactome:Protein2495
R-HSA-1980143,reactome:Dna650
R-HSA-1980143,reactome:SmallMolecule4
R-HSA-1980143,reactome:SmallMolecule5
R-HSA-1980143,reactome:Protein23478
R-HSA-1980143,reactome:Protein13368
R-HSA-1980143,reactome:Protein118
R-HSA-1980143,reactome:Protein13369
R-HSA-1980143,reactome:Dna644
R-HSA-1980143,reactome:Protein4354
R-HSA-1980143,reactome:Protein1859
R-HSA-5655253,reactome:Protein12783
R-HSA-5655253,reactome:PhysicalEntity877
R-HSA-5655253,reactome:Protein12767
R-HSA-5655253,reactome:SmallMolecule1145
R-HSA-5655253,reactome:Protein12737
R-HSA-5655253,reactome:SmallMolecule12
R-HSA-5655253,reactome:SmallMolecule13
R-HSA-5655253,reactome:Protein12761
R-HSA-5655253,reactome:PhysicalEntity876
R-HSA-5655253,reactome:PhysicalEntity878
R-HSA-5655253,reactome:PhysicalEntity879
R-HSA-5655253,reactome:Protein12766
R-HSA-5655253,reactome:Protein12801
R-HSA-5655253,reactome:Protein12802
R-HSA-5655253,reactome:PhysicalEntity882
R-HSA-5655253,reactome:Protein12794
R-HSA-5655253,reactome:Protein12799
R-HSA-5655253,reactome:PhysicalEntity880
R-HSA-5655253,reactome:Protein12809
R-HSA-5655253,reactome:PhysicalEntity883
R-HSA-5655253,reactome:Protein12735
R-HSA-5655253,reactome:Protein12660
R-HSA-5655253,reactome:Protein395
R-HSA-5655253,reactome:SmallMolecule246
R-HSA-5655253,reactome:SmallMolecule247
R-HSA-5655253,reactome:SmallMolecule75
R-HSA-5655253,reactome:SmallMolecule37
R-HSA-5655253,reactome:Protein12659
R-HSA-4755583,reactome:SmallMolecule736
R-HSA-4755583,reactome:SmallMolecule737
R-HSA-4755583,reactome:Protein18767
R-HSA-9707587,reactome:Dna89
R-HSA-9707587,reactome:Protein1615
R-HSA-9707587,reactome:Protein4837
R-HSA-9707587,reactome:Protein4836
R-HSA-4549356,reactome:SmallMolecule710
R-HSA-4549356,reactome:SmallMolecule712
R-HSA-4549356,reactome:Protein18609
R-HSA-167021,reactome:Protein12659
R-HSA-167021,reactome:SmallMolecule12
R-HSA-167021,reactome:SmallMolecule13
R-HSA-167021,reactome:Protein12660
R-HSA-5250981,reactome:SmallMolecule1733
R-HSA-5250981,reactome:Protein18947
R-HSA-5250981,reactome:Protein19022
R-HSA-5250981,reactome:Protein19036
R-HSA-5250981,reactome:Protein19035
R-HSA-5250981,reactome:Protein18953
R-HSA-5250981,reactome:SmallMolecule1734
R-HSA-5250981,reactome:Protein19033
R-HSA-5250981,reactome:SmallMolecule1736
R-HSA-5250981,reactome:Protein18973
R-HSA-5250981,reactome:Protein19038
R-HSA-5250981,reactome:Protein19037
R-HSA-2142770,reactome:SmallMolecule622
R-HSA-2142770,reactome:SmallMolecule3549
R-HSA-2142770,reactome:SmallMolecule25
R-HSA-2142770,reactome:SmallMolecule3550
R-HSA-2142770,reactome:SmallMolecule623
R-HSA-2142770,reactome:PhysicalEntity1567
R-HSA-2142770,reactome:SmallMolecule53
R-HSA-2142770,reactome:SmallMolecule102
R-HSA-2142770,reactome:SmallMolecule50
R-HSA-2142770,reactome:SmallMolecule3551
R-HSA-2142770,reactome:PhysicalEntity1568
R-HSA-2142770,reactome:SmallMolecule109
R-HSA-2142770,reactome:SmallMolecule2423
R-HSA-2142770,reactome:SmallMolecule52
R-HSA-2142770,reactome:SmallMolecule3552
R-HSA-2142770,reactome:SmallMolecule55
R-HSA-432030,reactome:SmallMolecule1109
R-HSA-432030,reactome:SmallMolecule2147
R-HSA-390247,reactome:SmallMolecule3715
R-HSA-390247,reactome:SmallMolecule98
R-HSA-390247,reactome:SmallMolecule3716
