pathway1,interaction,pathway2,tag
R-HSA-8956319,abstraction:NextStepPathway,R-HSA-5668914,inferred
R-HSA-8956319,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-15869,abstraction:NextStepPathway,R-HSA-9734281,inferred
R-HSA-15869,abstraction:NextStepPathway,R-HSA-9734207,inferred
R-HSA-15869,abstraction:NextStepPathway,R-HSA-9735804,inferred
R-HSA-15869,abstraction:NextStepPathway,R-HSA-5668914,inferred
R-HSA-15869,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9734281,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9734207,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9735804,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-5668914,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-110330,abstraction:NextStepPathway,R-HSA-110331,original
R-HSA-9764790,abstraction:NextStepPathway,R-HSA-9764562,original
R-HSA-9764560,abstraction:NextStepPathway,R-HSA-9764562,inferred
R-HSA-159740,abstraction:NextStepPathway,R-HSA-6806664,original
R-HSA-159740,abstraction:NextStepPathway,R-HSA-6806667,inferred
R-HSA-159740,abstraction:NextStepPathway,R-HSA-196854,inferred
R-HSA-159740,abstraction:NextStepPathway,R-HSA-1430728,inferred
R-HSA-159854,abstraction:NextStepPathway,R-HSA-6806664,inferred
R-HSA-159854,abstraction:NextStepPathway,R-HSA-6806667,inferred
R-HSA-159854,abstraction:NextStepPathway,R-HSA-196854,inferred
R-HSA-159854,abstraction:NextStepPathway,R-HSA-1430728,inferred
R-HSA-163841,abstraction:NextStepPathway,R-HSA-6806664,inferred
R-HSA-163841,abstraction:NextStepPathway,R-HSA-6806667,inferred
R-HSA-163841,abstraction:NextStepPathway,R-HSA-196854,inferred
R-HSA-597592,abstraction:NextStepPathway,R-HSA-6806664,inferred
R-HSA-597592,abstraction:NextStepPathway,R-HSA-6806667,inferred
R-HSA-597592,abstraction:NextStepPathway,R-HSA-196854,inferred
R-HSA-392499,abstraction:NextStepPathway,R-HSA-6806664,inferred
R-HSA-392499,abstraction:NextStepPathway,R-HSA-6806667,inferred
R-HSA-392499,abstraction:NextStepPathway,R-HSA-196854,inferred
R-HSA-159740,abstraction:NextStepPathway,R-HSA-159763,original
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-180024,original
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-111885,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-418594,original
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-388396,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-372790,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-162582,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-180024,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-111885,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-418594,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-388396,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-372790,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-162582,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-180024,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-111885,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-418594,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-388396,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-372790,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-162582,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-180024,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-111885,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-418594,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-388396,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-372790,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-162582,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-180024,original
R-HSA-164378,abstraction:NextStepPathway,R-HSA-111885,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-418594,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-388396,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-372790,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-162582,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-180024,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-111885,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-418594,original
R-HSA-163359,abstraction:NextStepPathway,R-HSA-388396,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-372790,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-162582,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-180024,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-111885,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-418594,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-388396,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-372790,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-162582,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-180024,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-111885,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-418594,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-388396,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-372790,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-180024,original
R-HSA-432040,abstraction:NextStepPathway,R-HSA-111885,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-418594,original
R-HSA-432040,abstraction:NextStepPathway,R-HSA-388396,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-372790,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-162582,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-180024,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-111885,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-418594,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-388396,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-372790,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-162582,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-180024,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-111885,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-418594,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-388396,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-372790,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-162582,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-392517,original
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-1280218,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-392517,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-1280218,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-392517,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-1280218,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-392517,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-392517,original
R-HSA-164378,abstraction:NextStepPathway,R-HSA-1280218,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-392517,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-1280218,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-392517,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-1280218,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-392517,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-1280218,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-392517,original
R-HSA-432040,abstraction:NextStepPathway,R-HSA-1280218,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-392517,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-1280218,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-392517,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-1280218,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-9634597,original
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-418555,original
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-9634597,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-418555,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-9634597,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-418555,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-9634597,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-418555,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-9664323,original
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-9662851,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-9664433,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-9658195,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-9824443,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-5663205,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-9664323,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-9662851,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-9664433,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-9658195,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-9824443,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-5663205,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-9664323,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-9662851,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-9664433,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-9658195,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-9824443,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-5663205,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-9664323,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-9662851,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-9664433,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-442720,original
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-438064,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-442755,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-112314,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-112315,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-112316,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-442720,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-438064,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-442755,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-112314,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-112315,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-112316,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-442720,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-438064,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-442755,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-112314,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-112315,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-112316,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-442720,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-438064,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-442755,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-112314,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-112315,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-112316,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-432040,original
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-445717,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-382551,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-432040,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-445717,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-382551,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-432040,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-445717,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-382551,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-432040,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-445717,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-382551,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-163615,original
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-111931,original
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-111933,original
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-111997,original
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-111996,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-112043,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-112040,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-1489509,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-9006925,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-163615,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-111931,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-111933,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-111997,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-111996,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-112043,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-112040,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-1489509,inferred
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-9006925,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-163615,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-111931,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-111933,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-111997,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-111996,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-112043,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-112040,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-1489509,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-9006925,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-163615,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-111931,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-111933,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-111997,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-111996,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-112043,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-112040,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-1489509,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-9006925,inferred
R-HSA-9856530,abstraction:NextStepPathway,R-HSA-9660821,original
R-HSA-9860931,abstraction:NextStepPathway,R-HSA-9660821,inferred
R-HSA-9855142,abstraction:NextStepPathway,R-HSA-9660821,inferred
R-HSA-8953897,abstraction:NextStepPathway,R-HSA-9660821,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-9856530,original
R-HSA-164378,abstraction:NextStepPathway,R-HSA-9860931,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-9855142,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-8953897,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-9856530,original
R-HSA-163359,abstraction:NextStepPathway,R-HSA-9860931,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-9855142,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-8953897,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-9856530,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-9860931,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-9855142,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-8953897,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9856530,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9860931,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9855142,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-9634597,original
R-HSA-164378,abstraction:NextStepPathway,R-HSA-418555,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-9634597,original
R-HSA-163359,abstraction:NextStepPathway,R-HSA-418555,original
R-HSA-163685,abstraction:NextStepPathway,R-HSA-9634597,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-418555,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9634597,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-418555,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-9664323,original
R-HSA-164378,abstraction:NextStepPathway,R-HSA-9662851,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-9664433,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-9658195,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-9824443,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-5663205,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-9664323,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-9662851,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-9664433,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-9658195,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-9824443,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-5663205,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-9664323,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-9662851,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-9664433,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-9658195,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-9824443,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-5663205,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9664323,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9662851,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9664433,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9658195,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9824443,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-5663205,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-442720,original
R-HSA-164378,abstraction:NextStepPathway,R-HSA-438064,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-442755,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-112314,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-112315,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-112316,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-442720,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-438064,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-442755,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-112314,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-112315,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-112316,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-442720,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-438064,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-442755,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-112314,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-112315,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-112316,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-442720,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-438064,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-442755,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-112314,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-432040,original
R-HSA-164378,abstraction:NextStepPathway,R-HSA-445717,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-382551,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-432040,original
R-HSA-163359,abstraction:NextStepPathway,R-HSA-445717,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-382551,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-432040,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-445717,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-382551,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-432040,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-445717,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-382551,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-163615,original
R-HSA-164378,abstraction:NextStepPathway,R-HSA-111931,original
R-HSA-164378,abstraction:NextStepPathway,R-HSA-111933,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-111997,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-111996,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-112043,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-112040,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-1489509,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-9006925,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-163615,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-111931,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-111933,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-111997,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-111996,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-112043,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-112040,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-1489509,inferred
R-HSA-163359,abstraction:NextStepPathway,R-HSA-9006925,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-163615,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-111931,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-111933,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-111997,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-111996,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-112043,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-112040,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-1489509,inferred
R-HSA-163685,abstraction:NextStepPathway,R-HSA-9006925,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-163615,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-111931,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-111933,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-111997,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-111996,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-112043,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-112040,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-1489509,inferred
R-HSA-164378,abstraction:NextStepPathway,R-HSA-9660821,original
R-HSA-163359,abstraction:NextStepPathway,R-HSA-9660821,original
R-HSA-163685,abstraction:NextStepPathway,R-HSA-9660821,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9660821,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-9856530,original
R-HSA-432040,abstraction:NextStepPathway,R-HSA-9860931,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-9855142,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-8953897,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-9856530,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-9860931,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-9855142,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-8953897,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-9856530,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-9860931,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-9855142,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-8953897,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-9634597,original
R-HSA-432040,abstraction:NextStepPathway,R-HSA-418555,original
R-HSA-445717,abstraction:NextStepPathway,R-HSA-9634597,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-418555,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-9634597,inferred
R-HSA-382551,abstraction:NextStepPathway,R-HSA-418555,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-9664323,original
R-HSA-432040,abstraction:NextStepPathway,R-HSA-9662851,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-9664433,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-9658195,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-9824443,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-5663205,inferred
R-HSA-432040,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-9664323,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-9662851,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-9664433,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-9658195,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-9824443,inferred
R-HSA-445717,abstraction:NextStepPathway,R-HSA-5663205,inferred
