pathwayID,interaction,nextPathwayID,tag
R-HSA-199920,abstraction:NextStepPathway,R-HSA-111932,orignal
R-HSA-199920,abstraction:NextStepPathway,R-HSA-9031628,orignal
R-HSA-2980766,abstraction:NextStepPathway,R-HSA-4419969,orignal
R-HSA-8981607,abstraction:NextStepPathway,R-HSA-203615,orignal
R-HSA-1251985,abstraction:NextStepPathway,R-HSA-9018519,orignal
R-HSA-179812,abstraction:NextStepPathway,R-HSA-5673001,orignal
R-HSA-179812,abstraction:NextStepPathway,R-HSA-912526,orignal
R-HSA-179812,abstraction:NextStepPathway,R-HSA-2428933,orignal
R-HSA-179812,abstraction:NextStepPathway,R-HSA-180336,orignal
R-HSA-179812,abstraction:NextStepPathway,R-HSA-167044,orignal
R-HSA-179812,abstraction:NextStepPathway,R-HSA-74751,orignal
R-HSA-179812,abstraction:NextStepPathway,R-HSA-112412,orignal
R-HSA-8939236,abstraction:NextStepPathway,R-HSA-9616222,orignal
R-HSA-420092,abstraction:NextStepPathway,R-HSA-163359,orignal
R-HSA-420092,abstraction:NextStepPathway,R-HSA-416476,orignal
R-HSA-420092,abstraction:NextStepPathway,R-HSA-418555,orignal
R-HSA-420092,abstraction:NextStepPathway,R-HSA-381676,orignal
R-HSA-420092,abstraction:NextStepPathway,R-HSA-9660821,orignal
R-HSA-211945,abstraction:NextStepPathway,R-HSA-8963896,orignal
R-HSA-9022707,abstraction:NextStepPathway,R-HSA-9022692,orignal
R-HSA-888590,abstraction:NextStepPathway,R-HSA-420499,orignal
R-HSA-888590,abstraction:NextStepPathway,R-HSA-977444,orignal
R-HSA-9026357,abstraction:NextStepPathway,R-HSA-9026527,orignal
R-HSA-9026357,abstraction:NextStepPathway,R-HSA-9028731,orignal
R-HSA-9026357,abstraction:NextStepPathway,R-HSA-9026519,orignal
R-HSA-9026357,abstraction:NextStepPathway,R-HSA-9028335,orignal
R-HSA-901032,abstraction:NextStepPathway,R-HSA-901042,orignal
R-HSA-901032,abstraction:NextStepPathway,R-HSA-532668,orignal
R-HSA-901032,abstraction:NextStepPathway,R-HSA-948021,orignal
R-HSA-2022377,abstraction:NextStepPathway,R-HSA-375276,orignal
R-HSA-1482839,abstraction:NextStepPathway,R-HSA-1483191,orignal
R-HSA-1482839,abstraction:NextStepPathway,R-HSA-1483152,orignal
R-HSA-1482839,abstraction:NextStepPathway,R-HSA-1483101,orignal
R-HSA-977606,abstraction:NextStepPathway,R-HSA-418594,orignal
R-HSA-977606,abstraction:NextStepPathway,R-HSA-9660826,orignal
R-HSA-6811558,abstraction:NextStepPathway,R-HSA-166058,orignal
R-HSA-6811558,abstraction:NextStepPathway,R-HSA-389357,orignal
R-HSA-6811558,abstraction:NextStepPathway,R-HSA-1257604,orignal
R-HSA-6811558,abstraction:NextStepPathway,R-HSA-199418,orignal
R-HSA-6811558,abstraction:NextStepPathway,R-HSA-1855204,orignal
R-HSA-6811558,abstraction:NextStepPathway,R-HSA-114604,orignal
R-HSA-6811558,abstraction:NextStepPathway,R-HSA-1660499,orignal
R-HSA-6811558,abstraction:NextStepPathway,R-HSA-5218920,orignal
R-HSA-6811558,abstraction:NextStepPathway,R-HSA-1660516,orignal
R-HSA-6811558,abstraction:NextStepPathway,R-HSA-202424,orignal
R-HSA-194138,abstraction:NextStepPathway,R-HSA-428930,orignal
R-HSA-194138,abstraction:NextStepPathway,R-HSA-177929,orignal
R-HSA-1855156,abstraction:NextStepPathway,R-HSA-1855191,orignal
R-HSA-1855156,abstraction:NextStepPathway,R-HSA-1855170,orignal
R-HSA-1059683,abstraction:NextStepPathway,R-HSA-6788467,orignal
R-HSA-1059683,abstraction:NextStepPathway,R-HSA-8984722,orignal
R-HSA-1059683,abstraction:NextStepPathway,R-HSA-9931295,orignal
R-HSA-354192,abstraction:NextStepPathway,R-HSA-372708,orignal
R-HSA-354192,abstraction:NextStepPathway,R-HSA-354194,orignal
R-HSA-354192,abstraction:NextStepPathway,R-HSA-392517,orignal
R-HSA-9939291,abstraction:NextStepPathway,R-HSA-8932504,orignal
R-HSA-9939291,abstraction:NextStepPathway,R-HSA-8932506,orignal
R-HSA-9732724,abstraction:NextStepPathway,R-HSA-877300,orignal
R-HSA-9732724,abstraction:NextStepPathway,R-HSA-2173795,orignal
R-HSA-936440,abstraction:NextStepPathway,R-HSA-1169408,orignal
R-HSA-111457,abstraction:NextStepPathway,R-HSA-111458,orignal
R-HSA-111457,abstraction:NextStepPathway,R-HSA-111469,orignal
R-HSA-111457,abstraction:NextStepPathway,R-HSA-111461,orignal
R-HSA-111457,abstraction:NextStepPathway,R-HSA-111463,orignal
R-HSA-111457,abstraction:NextStepPathway,R-HSA-111471,orignal
R-HSA-417973,abstraction:NextStepPathway,R-HSA-418594,orignal
R-HSA-417973,abstraction:NextStepPathway,R-HSA-418555,orignal
R-HSA-417973,abstraction:NextStepPathway,R-HSA-9660821,orignal
R-HSA-70688,abstraction:NextStepPathway,R-HSA-8964539,orignal
R-HSA-9012546,abstraction:NextStepPathway,R-HSA-9960525,orignal
R-HSA-9012546,abstraction:NextStepPathway,R-HSA-9960519,orignal
R-HSA-73614,abstraction:NextStepPathway,R-HSA-73621,orignal
R-HSA-73614,abstraction:NextStepPathway,R-HSA-499943,orignal
R-HSA-69563,abstraction:NextStepPathway,R-HSA-2559582,orignal
R-HSA-69563,abstraction:NextStepPathway,R-HSA-69656,orignal
R-HSA-69563,abstraction:NextStepPathway,R-HSA-187577,orignal
R-HSA-77348,abstraction:NextStepPathway,R-HSA-611105,orignal
R-HSA-77348,abstraction:NextStepPathway,R-HSA-77350,orignal
R-HSA-2172127,abstraction:NextStepPathway,R-HSA-391160,orignal
R-HSA-2172127,abstraction:NextStepPathway,R-HSA-2424491,orignal
R-HSA-156588,abstraction:NextStepPathway,R-HSA-189483,orignal
R-HSA-156588,abstraction:NextStepPathway,R-HSA-9749641,orignal
R-HSA-9694631,abstraction:NextStepPathway,R-HSA-9755779,orignal
R-HSA-9694631,abstraction:NextStepPathway,R-HSA-9694322,orignal
R-HSA-9694631,abstraction:NextStepPathway,R-HSA-9694786,orignal
R-HSA-9694631,abstraction:NextStepPathway,R-HSA-9705671,orignal
R-HSA-428930,abstraction:NextStepPathway,R-HSA-416476,orignal
R-HSA-428930,abstraction:NextStepPathway,R-HSA-416482,orignal
R-HSA-916853,abstraction:NextStepPathway,R-HSA-611105,orignal
R-HSA-916853,abstraction:NextStepPathway,R-HSA-880009,orignal
R-HSA-916853,abstraction:NextStepPathway,R-HSA-71403,orignal
R-HSA-428643,abstraction:NextStepPathway,R-HSA-196807,orignal
R-HSA-428643,abstraction:NextStepPathway,R-HSA-433692,orignal
R-HSA-428643,abstraction:NextStepPathway,R-HSA-561048,orignal
R-HSA-428643,abstraction:NextStepPathway,R-HSA-75105,orignal
R-HSA-428643,abstraction:NextStepPathway,R-HSA-70263,orignal
R-HSA-428643,abstraction:NextStepPathway,R-HSA-1614517,orignal
R-HSA-428643,abstraction:NextStepPathway,R-HSA-70268,orignal
R-HSA-428643,abstraction:NextStepPathway,R-HSA-4085001,orignal
R-HSA-166058,abstraction:NextStepPathway,R-HSA-975144,orignal
R-HSA-166058,abstraction:NextStepPathway,R-HSA-975138,orignal
R-HSA-166058,abstraction:NextStepPathway,R-HSA-937039,orignal
R-HSA-166058,abstraction:NextStepPathway,R-HSA-975871,orignal
R-HSA-166058,abstraction:NextStepPathway,R-HSA-937042,orignal
R-HSA-420499,abstraction:NextStepPathway,R-HSA-418594,orignal
R-HSA-420499,abstraction:NextStepPathway,R-HSA-416476,orignal
R-HSA-420499,abstraction:NextStepPathway,R-HSA-1296041,orignal
R-HSA-420499,abstraction:NextStepPathway,R-HSA-997272,orignal
R-HSA-1655829,abstraction:NextStepPathway,R-HSA-2426168,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-354192,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-9856530,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-2871809,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-9664323,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-76005,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-445355,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-5218921,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-111997,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-5607763,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-5578775,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-983695,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-2514859,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-392517,orignal
R-HSA-114508,abstraction:NextStepPathway,R-HSA-139853,orignal
R-HSA-392154,abstraction:NextStepPathway,R-HSA-1222556,orignal
R-HSA-392154,abstraction:NextStepPathway,R-HSA-418457,orignal
R-HSA-392154,abstraction:NextStepPathway,R-HSA-445355,orignal
R-HSA-392154,abstraction:NextStepPathway,R-HSA-3299685,orignal
R-HSA-176407,abstraction:NextStepPathway,R-HSA-174178,orignal
R-HSA-77288,abstraction:NextStepPathway,R-HSA-611105,orignal
R-HSA-77288,abstraction:NextStepPathway,R-HSA-77346,orignal
R-HSA-141430,abstraction:NextStepPathway,R-HSA-179409,orignal
R-HSA-141430,abstraction:NextStepPathway,R-HSA-176409,orignal
R-HSA-141430,abstraction:NextStepPathway,R-HSA-174184,orignal
R-HSA-352230,abstraction:NextStepPathway,R-HSA-888590,orignal
R-HSA-352230,abstraction:NextStepPathway,R-HSA-71240,orignal
R-HSA-352230,abstraction:NextStepPathway,R-HSA-428559,orignal
R-HSA-352230,abstraction:NextStepPathway,R-HSA-442660,orignal
R-HSA-73621,abstraction:NextStepPathway,R-HSA-70635,orignal
R-HSA-9912633,abstraction:NextStepPathway,R-HSA-983170,orignal
R-HSA-9912633,abstraction:NextStepPathway,R-HSA-983168,orignal
R-HSA-71240,abstraction:NextStepPathway,R-HSA-196807,orignal
R-HSA-2029481,abstraction:NextStepPathway,R-HSA-2029482,orignal
R-HSA-2029481,abstraction:NextStepPathway,R-HSA-2454202,orignal
R-HSA-1614558,abstraction:NextStepPathway,R-HSA-1614517,orignal
R-HSA-168275,abstraction:NextStepPathway,R-HSA-168288,orignal
R-HSA-389958,abstraction:NextStepPathway,R-HSA-391251,orignal
R-HSA-166016,abstraction:NextStepPathway,R-HSA-166058,orignal
R-HSA-166016,abstraction:NextStepPathway,R-HSA-166020,orignal
R-HSA-8856825,abstraction:NextStepPathway,R-HSA-8856828,orignal
R-HSA-9960525,abstraction:NextStepPathway,R-HSA-448706,orignal
R-HSA-9960525,abstraction:NextStepPathway,R-HSA-5620971,orignal
R-HSA-9960525,abstraction:NextStepPathway,R-HSA-9660826,orignal
R-HSA-9020591,abstraction:NextStepPathway,R-HSA-8984722,orignal
