previousPathwayAncestorID,interaction,nextPathwayAncestorID,tag
R-HSA-212436,abstraction:NextStepPathway,R-HSA-937061,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-166166,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-9020702,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-446652,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-449147,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-1280215,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-168164,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-9758274,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-445989,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-166058,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-166016,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-168898,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-168249,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-168179,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-181438,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-168188,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-975138,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-975155,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-168138,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-168181,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-975871,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-168142,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-168176,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-937061,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-166166,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-9020702,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-446652,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-449147,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-1280215,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-168164,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-9758274,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-445989,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-166058,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-166016,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-168898,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-168249,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-168179,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-181438,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-168188,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-975138,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-975155,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-168138,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-168181,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-975871,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-168142,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-168176,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-937061,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-166166,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-9020702,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-446652,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-449147,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-1280215,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-168164,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-111448,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-114452,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-109606,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-109581,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-111448,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-114452,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-109606,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-109581,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-111448,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-114452,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-109606,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-109581,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-111448,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-114452,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-109606,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-109581,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-111448,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-114452,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-109606,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-109581,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-111448,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-114452,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-109606,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-109581,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-69895,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-69560,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-69563,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-69580,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-69615,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-69620,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-1640170,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-69895,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-69560,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-69563,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-69580,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-69615,inferred
